GEOID,median_household_income,median_home_value,total_population,poverty_rate,unemployment_rate,college_rate,renter_rate,uninsured_pct,diabetes_pct,physical_inactivity_pct,poor_mental_health_pct,obesity_pct
17031804608,120565,282500,3634,0.06108970831040176,0.020613834173156206,0.5979614949037373,0.27851291745431633,0.069,0.096,0.18100000000000002,0.124,0.242
17031806202,73491,253100,4939,0.05034651447207501,0.06857573474001508,0.43613466975070675,0.3221476510067114,0.095,0.11800000000000001,0.23399999999999999,0.146,0.28
17031839100,122978,298000,8227,0.06572499279331219,0.04175399000483637,0.8089690392594957,0.7222339750370214,0.061,0.040999999999999995,0.11599999999999999,0.14,0.221
17031833100,160114,541500,8469,0.05571462658076831,0.019476567255021303,0.8835135925168079,0.3726694915254237,0.047,0.044000000000000004,0.11,0.132,0.23399999999999999
17031838100,26000,397700,1501,0.372,0.06951219512195123,0.43237250554323725,0.8039399624765479,0.11,0.17800000000000002,0.272,0.158,0.37200000000000005
17031833300,85096,477800,2686,0.29502059153874954,0.08812046848856665,0.8721854304635761,0.6609053497942387,0.066,0.054000000000000006,0.15,0.146,0.215
17031838200,83929,413200,1834,0.11918604651162791,0.103831891223733,0.5982996811902231,0.49193548387096775,0.079,0.052000000000000005,0.152,0.146,0.19699999999999998
17031140702,73571,389400,5572,0.1259686429987385,0.04747103701610624,0.3949304987735078,0.6595441595441596,0.19,0.105,0.253,0.156,0.313
17031140602,59962,304500,4703,0.28804347826086957,0.10248565965583174,0.4120843989769821,0.7092280905397562,0.19699999999999998,0.121,0.284,0.16399999999999998,0.341
17031140701,92212,350600,2990,0.06421404682274247,0.041877588587206624,0.3400735294117647,0.5998160073597056,0.183,0.099,0.253,0.156,0.292
17031160502,100147,427000,4012,0.0732801595214357,0.0380653828929691,0.4009468317552804,0.46238651102464334,0.163,0.107,0.248,0.154,0.31
17031160602,84955,359700,3757,0.11471919084375831,0.025735294117647058,0.49800652410293583,0.42576142131979694,0.124,0.08900000000000001,0.204,0.146,0.293
17031151002,75893,338800,4892,0.10956663941128372,0.08345808383233533,0.23173726212400245,0.5578880407124682,0.19699999999999998,0.11599999999999999,0.271,0.157,0.327
17031151001,93879,357200,2816,0.10723192019950124,0.06158940397350993,0.23157894736842105,0.39954853273137697,0.203,0.115,0.264,0.153,0.321
17031190402,56523,293400,4896,0.13398692810457516,0.03706422018348624,0.1795031055900621,0.5221536735838475,0.252,0.131,0.313,0.161,0.33399999999999996
17031431301,36867,133300,3555,0.19578059071729959,0.16317767042404724,0.16230883078441047,0.8581979320531757,0.166,0.204,0.41100000000000003,0.24100000000000002,0.498
17031431302,32031,210900,3788,0.4759767687434002,0.23464912280701755,0.17779533781114185,0.9075730471079309,0.14300000000000002,0.193,0.375,0.23,0.489
17031460302,50056,161400,4212,0.23790226460071515,0.2294203604481247,0.20033112582781457,0.5048,0.13,0.168,0.313,0.191,0.425
17031460301,31831,119300,3189,0.32901390644753475,0.1284153005464481,0.10051667449506811,0.4614747307373654,0.198,0.191,0.371,0.195,0.424
17031700501,66979,217000,6565,0.1255977048135161,0.15808823529411764,0.2459214501510574,0.2837944664031621,0.122,0.207,0.33299999999999996,0.172,0.43
17031700502,87543,254400,3656,0.10202898550724637,0.09014925373134329,0.3464326592903472,0.1351805205709488,0.08,0.161,0.249,0.142,0.364
17031210601,93547,511900,2818,0.09584664536741214,0.10769980506822611,0.549520766773163,0.5072072072072072,0.161,0.1,0.23199999999999998,0.153,0.303
17031812302,125625,527700,2818,0.03101644245142003,0.039492242595204514,0.7103274559193955,0.21602160216021601,0.05,0.085,0.142,0.11900000000000001,0.261
17031812802,83783,307100,2826,0.061924982307147915,0.013513513513513514,0.6350734921439433,0.5688291139240507,0.062,0.079,0.152,0.14,0.276
17031812801,73375,236200,3398,0.15067686874632136,0.0647792706333973,0.6853295535081503,0.6192425793244627,0.071,0.099,0.182,0.14400000000000002,0.297
17031812301,87476,228900,5184,0.07680311890838207,0.03174083769633508,0.7763310857940013,0.6901675624407209,0.054000000000000006,0.075,0.139,0.122,0.24600000000000002
17031813802,64464,229600,4386,0.1863439141356474,0.03832442067736185,0.17832167832167833,0.4798807749627422,0.281,0.138,0.331,0.159,0.358
17031813701,56311,219600,2896,0.19647790055248618,0.06253722453841572,0.11304347826086956,0.6184615384615385,0.266,0.11900000000000001,0.303,0.16,0.34
17031820603,65922,229200,5255,0.21084681255946716,0.07593984962406015,0.16607981220657278,0.24010840108401085,0.149,0.11800000000000001,0.268,0.177,0.33399999999999996
17031841100,48542,357900,6990,0.12861230329041487,0.0632034632034632,0.2768159578471961,0.6074700493305144,0.134,0.196,0.379,0.132,0.2
17031840200,41359,325900,2198,0.2902638762511374,0.0454065469904963,0.20506329113924052,0.40507859733978235,0.158,0.177,0.365,0.154,0.254
